seed,r2,mae,separation_quality,n_trees,max_questions_per_tree,total_questions,n_candidate_rules,n_pareto_rules,n_diverse_rules,min_pairwise_trajectory_distance,mean_pairwise_trajectory_distance
604,0.28034840852298915,3382.463743190971,6997.374325475845,9,14,76,,,,,
605,0.3368510877802334,3234.9566294463157,6117.627329073599,7,9,47,,,,,
606,0.3612536885992471,3446.7508514752417,7214.600499813582,10,12,73,,,,,
607,0.393015602950361,3315.8274878768134,7538.44720475222,10,14,83,,,,,
608,0.3364115147210983,3298.226026139002,7970.040705671069,10,11,71,83.0,11.0,4.0,0.5852861338293943,1.5940842148051377
609,0.3018124803723107,3408.4427358916723,7024.911708244574,7,14,47,,,,,
610,0.3299238605088771,3541.932923667081,7211.76378553714,9,9,70,,,,,
611,0.41912183470041053,3251.9726652531567,7350.441374984778,8,16,55,,,,,
612,0.41227342427416247,3490.109360724339,7179.63421516391,10,15,78,,,,,
613,0.3318648449718826,3859.586853809952,6421.606249843356,7,14,53,,,,,
614,0.2745787973772539,3459.676370632992,7254.877709456549,10,17,80,,,,,
615,0.35070976068463444,3309.0437735323185,7287.835722498444,7,18,54,,,,,
616,0.31425199424008743,3430.4880691142266,7189.6281419851575,7,17,61,,,,,
617,0.3846967110423648,3499.974619143926,6778.954857942143,9,7,59,,,,,
618,0.3787775413712059,3090.6799856053576,7633.843224021085,9,14,82,,,,,
619,0.3622862616307895,3431.5760126874684,7004.244664519049,9,12,63,,,,,
620,0.41123560003568227,3478.6232367953817,7237.950050644914,8,17,54,,,,,
621,0.5026376646476136,3230.0233582729993,7015.690477439642,8,12,69,,,,,
622,0.46621991951299735,3352.966788521517,6715.893101856331,6,11,45,,,,,
623,0.299079044014666,3308.54539880284,7132.785988476826,6,11,55,,,,,
624,0.368640049459826,3182.055245575321,6961.547100079198,9,15,75,,,,,
625,0.31035400672817304,3522.9509810917607,6264.53345295045,8,18,51,,,,,
626,0.2755331338613688,3550.154326538534,6969.1409090173465,6,16,55,,,,,
627,0.29739119497645816,3443.2596289508983,6389.103912398183,9,12,65,,,,,
628,0.481884968030993,3148.6841563055004,7832.6548608582425,8,14,59,66.0,7.0,1.0,0.0,0.0
629,0.45053360805184695,3390.10331669377,7053.0072267769065,10,18,85,,,,,
630,0.2742827406812516,3701.1252356091613,7121.984494311985,5,10,39,,,,,
631,0.2739914260798961,3723.237822092989,7264.569767631838,6,10,47,,,,,
632,0.3353291302024931,3664.7200433492194,6798.477274991209,7,6,42,,,,,
633,0.3772060666707435,3258.906182055184,5022.845793953361,5,18,35,,,,,
634,0.4232378258646371,3135.4054943013143,6666.213586077066,5,11,36,,,,,
635,0.4337949911352482,3702.7521848762462,6681.0946816524265,5,16,37,,,,,
636,0.33987505835715937,3316.2486615328885,7222.70825602883,9,6,53,,,,,
637,0.4022512498757226,3291.332468780431,7465.216394933549,8,16,67,,,,,
638,0.34383081252500103,3867.7402296369364,6587.9522114043175,9,10,66,,,,,
639,0.41830032391968797,2951.0562110046417,7355.89578692733,9,12,73,,,,,
640,0.29729913806116803,3455.8116745937027,6629.053896248596,6,18,45,,,,,
